"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"656","0.279","0.279","0.279","0.41","0.41","0.41","0.436","0.436","0.436","0.413","0.413","0.413","0.465","0.465","0.465","0.475","0.475","0.475","0.52","0.52","0.52"
"657","0.258","0.258","0.258","0.472","0.472","0.472","0.446","0.446","0.446","0.414","0.414","0.414","0.486","0.486","0.486","0.477","0.477","0.477","0.548","0.548","0.548"
"658","0.27","0.27","0.27","0.426","0.426","0.426","0.44","0.44","0.44","0.442","0.442","0.442","0.464","0.464","0.464","0.469","0.469","0.469","0.547","0.547","0.547"
"659","0.293","0.293","0.293","0.456","0.456","0.456","0.439","0.439","0.439","0.458","0.458","0.458","0.493","0.493","0.493","0.492","0.492","0.492","0.533","0.533","0.533"
"660","0.286","0.286","0.286","0.442","0.442","0.442","0.442","0.442","0.442","0.425","0.425","0.425","0.476","0.476","0.476","0.493","0.493","0.493","0.544","0.544","0.544"
"661","0.28","0.28","0.28","0.442","0.442","0.442","0.438","0.438","0.438","0.391","0.391","0.391","0.47","0.47","0.47","0.491","0.491","0.491","0.537","0.537","0.537"
"662","0.208","0.208","0.208","0.433","0.433","0.433","0.416","0.416","0.416","0.419","0.419","0.419","0.479","0.479","0.479","0.503","0.503","0.503","0.543","0.543","0.543"
"663","0.224","0.224","0.224","0.405","0.405","0.405","0.417","0.417","0.417","0.37","0.37","0.37","0.463","0.463","0.463","0.487","0.487","0.487","0.545","0.545","0.545"
"664","0.286","0.286","0.286","0.429","0.429","0.429","0.409","0.409","0.409","0.425","0.425","0.425","0.478","0.478","0.478","0.475","0.475","0.475","0.534","0.534","0.534"
"665","0.268","0.268","0.268","0.463","0.463","0.463","0.446","0.446","0.446","0.402","0.402","0.402","0.508","0.508","0.508","0.47","0.47","0.47","0.529","0.529","0.529"
"666","0.253","0.253","0.253","0.439","0.439","0.439","0.448","0.448","0.448","0.406","0.406","0.406","0.487","0.487","0.487","0.473","0.473","0.473","0.53","0.53","0.53"
"667","0.204","0.204","0.204","0.413","0.413","0.413","0.437","0.437","0.437","0.411","0.411","0.411","0.482","0.482","0.482","0.463","0.463","0.463","0.526","0.526","0.526"
"668","0.228","0.228","0.228","0.435","0.435","0.435","0.415","0.415","0.415","0.38","0.38","0.38","0.471","0.471","0.471","0.494","0.494","0.494","0.554","0.554","0.554"
"669","0.3","0.3","0.3","0.409","0.409","0.409","0.444","0.444","0.444","0.415","0.415","0.415","0.46","0.46","0.46","0.483","0.483","0.483","0.555","0.555","0.555"
"670","0.307","0.307","0.307","0.455","0.455","0.455","0.451","0.451","0.451","0.423","0.423","0.423","0.495","0.495","0.495","0.496","0.496","0.496","0.534","0.534","0.534"
"671","0.327","0.327","0.327","0.435","0.435","0.435","0.458","0.458","0.458","0.399","0.399","0.399","0.493","0.493","0.493","0.491","0.491","0.491","0.554","0.554","0.554"
"672","0.299","0.299","0.299","0.45","0.45","0.45","0.425","0.425","0.425","0.458","0.458","0.458","0.498","0.498","0.498","0.489","0.489","0.489","0.548","0.548","0.548"
"673","0.264","0.264","0.264","0.415","0.415","0.415","0.444","0.444","0.444","0.387","0.387","0.387","0.482","0.482","0.482","0.493","0.493","0.493","0.538","0.538","0.538"
"674","0.313","0.313","0.313","0.467","0.467","0.467","0.435","0.435","0.435","0.421","0.421","0.421","0.501","0.501","0.501","0.46","0.46","0.46","0.526","0.526","0.526"
"675","0.284","0.284","0.284","0.443","0.443","0.443","0.42","0.42","0.42","0.422","0.422","0.422","0.466","0.466","0.466","0.491","0.491","0.491","0.548","0.548","0.548"
"676","0.242","0.242","0.242","0.431","0.431","0.431","0.45","0.45","0.45","0.417","0.417","0.417","0.459","0.459","0.459","0.476","0.476","0.476","0.529","0.529","0.529"
"677","0.247","0.247","0.247","0.447","0.447","0.447","0.426","0.426","0.426","0.419","0.419","0.419","0.476","0.476","0.476","0.474","0.474","0.474","0.543","0.543","0.543"
"678","0.25","0.25","0.25","0.433","0.433","0.433","0.433","0.433","0.433","0.413","0.413","0.413","0.454","0.454","0.454","0.478","0.478","0.478","0.528","0.528","0.528"
"679","0.257","0.257","0.257","0.43","0.43","0.43","0.44","0.44","0.44","0.407","0.407","0.407","0.464","0.464","0.464","0.489","0.489","0.489","0.543","0.543","0.543"
"680","0.255","0.255","0.255","0.424","0.424","0.424","0.437","0.437","0.437","0.421","0.421","0.421","0.484","0.484","0.484","0.454","0.454","0.454","0.524","0.524","0.524"
"681","0.26","0.26","0.26","0.447","0.447","0.447","0.429","0.429","0.429","0.403","0.403","0.403","0.465","0.465","0.465","0.49","0.49","0.49","0.553","0.553","0.553"
"682","0.261","0.261","0.261","0.445","0.445","0.445","0.452","0.452","0.452","0.423","0.423","0.423","0.476","0.476","0.476","0.457","0.457","0.457","0.539","0.539","0.539"
"683","0.27","0.27","0.27","0.403","0.403","0.403","0.436","0.436","0.436","0.407","0.407","0.407","0.454","0.454","0.454","0.467","0.467","0.467","0.523","0.523","0.523"
"684","0.231","0.231","0.231","0.462","0.462","0.462","0.449","0.449","0.449","0.381","0.381","0.381","0.5","0.5","0.5","0.493","0.493","0.493","0.546","0.546","0.546"
"685","0.217","0.217","0.217","0.433","0.433","0.433","0.462","0.462","0.462","0.391","0.391","0.391","0.47","0.47","0.47","0.496","0.496","0.496","0.544","0.544","0.544"
"686","0.268","0.268","0.268","0.438","0.438","0.438","0.417","0.417","0.417","0.413","0.413","0.413","0.474","0.474","0.474","0.505","0.505","0.505","0.541","0.541","0.541"
"687","0.266","0.266","0.266","0.418","0.418","0.418","0.424","0.424","0.424","0.401","0.401","0.401","0.457","0.457","0.457","0.467","0.467","0.467","0.52","0.52","0.52"
"688","0.215","0.215","0.215","0.433","0.433","0.433","0.45","0.45","0.45","0.433","0.433","0.433","0.483","0.483","0.483","0.454","0.454","0.454","0.518","0.518","0.518"
"689","0.257","0.257","0.257","0.417","0.417","0.417","0.416","0.416","0.416","0.363","0.363","0.363","0.488","0.488","0.488","0.464","0.464","0.464","0.534","0.534","0.534"
"690","0.251","0.251","0.251","0.452","0.452","0.452","0.409","0.409","0.409","0.408","0.408","0.408","0.516","0.516","0.516","0.491","0.491","0.491","0.544","0.544","0.544"
"691","0.266","0.266","0.266","0.428","0.428","0.428","0.425","0.425","0.425","0.416","0.416","0.416","0.488","0.488","0.488","0.47","0.47","0.47","0.536","0.536","0.536"
"692","0.299","0.299","0.299","0.43","0.43","0.43","0.453","0.453","0.453","0.419","0.419","0.419","0.452","0.452","0.452","0.473","0.473","0.473","0.541","0.541","0.541"
"693","0.296","0.296","0.296","0.42","0.42","0.42","0.439","0.439","0.439","0.42","0.42","0.42","0.441","0.441","0.441","0.452","0.452","0.452","0.532","0.532","0.532"
"694","0.339","0.339","0.339","0.435","0.435","0.435","0.452","0.452","0.452","0.386","0.386","0.386","0.449","0.449","0.449","0.491","0.491","0.491","0.533","0.533","0.533"
"695","0.243","0.243","0.243","0.4","0.4","0.4","0.436","0.436","0.436","0.398","0.398","0.398","0.443","0.443","0.443","0.456","0.456","0.456","0.51","0.51","0.51"
"696","0.299","0.299","0.299","0.417","0.417","0.417","0.45","0.45","0.45","0.352","0.352","0.352","0.466","0.466","0.466","0.476","0.476","0.476","0.526","0.526","0.526"
"697","0.279","0.279","0.279","0.441","0.441","0.441","0.447","0.447","0.447","0.412","0.412","0.412","0.468","0.468","0.468","0.474","0.474","0.474","0.55","0.55","0.55"
"698","0.249","0.249","0.249","0.45","0.45","0.45","0.438","0.438","0.438","0.371","0.371","0.371","0.454","0.454","0.454","0.461","0.461","0.461","0.544","0.544","0.544"
"699","0.315","0.315","0.315","0.432","0.432","0.432","0.466","0.466","0.466","0.414","0.414","0.414","0.462","0.462","0.462","0.488","0.488","0.488","0.542","0.542","0.542"
"700","0.311","0.311","0.311","0.426","0.426","0.426","0.435","0.435","0.435","0.425","0.425","0.425","0.474","0.474","0.474","0.487","0.487","0.487","0.543","0.543","0.543"
