"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"601","0.414","0.414","0.414","0.425","0.425","0.425","0.276","0.276","0.276","0.522","0.522","0.522","0.503","0.503","0.503","0.477","0.477","0.477","0.346","0.346","0.346","0.548","0.548","0.548"
"602","0.436","0.436","0.436","0.434","0.434","0.434","0.232","0.232","0.232","0.52","0.52","0.52","0.449","0.449","0.449","0.498","0.498","0.498","0.402","0.402","0.402","0.535","0.535","0.535"
"603","0.416","0.416","0.416","0.44","0.44","0.44","0.278","0.278","0.278","0.526","0.526","0.526","0.478","0.478","0.478","0.492","0.492","0.492","0.409","0.409","0.409","0.538","0.538","0.538"
"604","0.414","0.414","0.414","0.421","0.421","0.421","0.266","0.266","0.266","0.558","0.558","0.558","0.502","0.502","0.502","0.473","0.473","0.473","0.457","0.457","0.457","0.532","0.532","0.532"
"605","0.435","0.435","0.435","0.41","0.41","0.41","0.206","0.206","0.206","0.526","0.526","0.526","0.472","0.472","0.472","0.484","0.484","0.484","0.402","0.402","0.402","0.552","0.552","0.552"
"606","0.455","0.455","0.455","0.432","0.432","0.432","0.184","0.184","0.184","0.547","0.547","0.547","0.491","0.491","0.491","0.48","0.48","0.48","0.394","0.394","0.394","0.541","0.541","0.541"
"607","0.429","0.429","0.429","0.422","0.422","0.422","0.233","0.233","0.233","0.538","0.538","0.538","0.468","0.468","0.468","0.486","0.486","0.486","0.415","0.415","0.415","0.535","0.535","0.535"
"608","0.445","0.445","0.445","0.453","0.453","0.453","0.225","0.225","0.225","0.532","0.532","0.532","0.486","0.486","0.486","0.492","0.492","0.492","0.454","0.454","0.454","0.526","0.526","0.526"
"609","0.427","0.427","0.427","0.428","0.428","0.428","0.272","0.272","0.272","0.557","0.557","0.557","0.475","0.475","0.475","0.469","0.469","0.469","0.39","0.39","0.39","0.544","0.544","0.544"
"610","0.45","0.45","0.45","0.456","0.456","0.456","0.238","0.238","0.238","0.545","0.545","0.545","0.477","0.477","0.477","0.509","0.509","0.509","0.419","0.419","0.419","0.572","0.572","0.572"
"611","0.448","0.448","0.448","0.446","0.446","0.446","0.25","0.25","0.25","0.546","0.546","0.546","0.491","0.491","0.491","0.517","0.517","0.517","0.389","0.389","0.389","0.547","0.547","0.547"
"612","0.423","0.423","0.423","0.42","0.42","0.42","0.272","0.272","0.272","0.553","0.553","0.553","0.496","0.496","0.496","0.448","0.448","0.448","0.424","0.424","0.424","0.541","0.541","0.541"
"613","0.429","0.429","0.429","0.421","0.421","0.421","0.262","0.262","0.262","0.553","0.553","0.553","0.508","0.508","0.508","0.494","0.494","0.494","0.399","0.399","0.399","0.535","0.535","0.535"
"614","0.435","0.435","0.435","0.429","0.429","0.429","0.253","0.253","0.253","0.546","0.546","0.546","0.496","0.496","0.496","0.481","0.481","0.481","0.387","0.387","0.387","0.561","0.561","0.561"
"615","0.452","0.452","0.452","0.431","0.431","0.431","0.25","0.25","0.25","0.553","0.553","0.553","0.496","0.496","0.496","0.485","0.485","0.485","0.398","0.398","0.398","0.55","0.55","0.55"
"616","0.435","0.435","0.435","0.461","0.461","0.461","0.262","0.262","0.262","0.531","0.531","0.531","0.505","0.505","0.505","0.494","0.494","0.494","0.38","0.38","0.38","0.543","0.543","0.543"
"617","0.443","0.443","0.443","0.432","0.432","0.432","0.247","0.247","0.247","0.535","0.535","0.535","0.464","0.464","0.464","0.482","0.482","0.482","0.406","0.406","0.406","0.539","0.539","0.539"
"618","0.426","0.426","0.426","0.45","0.45","0.45","0.3","0.3","0.3","0.549","0.549","0.549","0.485","0.485","0.485","0.477","0.477","0.477","0.407","0.407","0.407","0.532","0.532","0.532"
"619","0.427","0.427","0.427","0.411","0.411","0.411","0.266","0.266","0.266","0.565","0.565","0.565","0.503","0.503","0.503","0.449","0.449","0.449","0.399","0.399","0.399","0.546","0.546","0.546"
"620","0.428","0.428","0.428","0.448","0.448","0.448","0.256","0.256","0.256","0.527","0.527","0.527","0.478","0.478","0.478","0.499","0.499","0.499","0.423","0.423","0.423","0.559","0.559","0.559"
"621","0.455","0.455","0.455","0.408","0.408","0.408","0.26","0.26","0.26","0.525","0.525","0.525","0.487","0.487","0.487","0.476","0.476","0.476","0.428","0.428","0.428","0.537","0.537","0.537"
"622","0.445","0.445","0.445","0.437","0.437","0.437","0.275","0.275","0.275","0.551","0.551","0.551","0.476","0.476","0.476","0.484","0.484","0.484","0.428","0.428","0.428","0.524","0.524","0.524"
"623","0.435","0.435","0.435","0.442","0.442","0.442","0.247","0.247","0.247","0.55","0.55","0.55","0.504","0.504","0.504","0.505","0.505","0.505","0.416","0.416","0.416","0.552","0.552","0.552"
"624","0.427","0.427","0.427","0.424","0.424","0.424","0.235","0.235","0.235","0.542","0.542","0.542","0.474","0.474","0.474","0.47","0.47","0.47","0.413","0.413","0.413","0.536","0.536","0.536"
"625","0.433","0.433","0.433","0.434","0.434","0.434","0.25","0.25","0.25","0.518","0.518","0.518","0.472","0.472","0.472","0.48","0.48","0.48","0.385","0.385","0.385","0.535","0.535","0.535"
"626","0.432","0.432","0.432","0.454","0.454","0.454","0.268","0.268","0.268","0.549","0.549","0.549","0.487","0.487","0.487","0.504","0.504","0.504","0.408","0.408","0.408","0.51","0.51","0.51"
"627","0.445","0.445","0.445","0.451","0.451","0.451","0.225","0.225","0.225","0.554","0.554","0.554","0.475","0.475","0.475","0.49","0.49","0.49","0.387","0.387","0.387","0.547","0.547","0.547"
"628","0.439","0.439","0.439","0.444","0.444","0.444","0.259","0.259","0.259","0.554","0.554","0.554","0.501","0.501","0.501","0.493","0.493","0.493","0.391","0.391","0.391","0.542","0.542","0.542"
"629","0.418","0.418","0.418","0.438","0.438","0.438","0.25","0.25","0.25","0.526","0.526","0.526","0.47","0.47","0.47","0.473","0.473","0.473","0.407","0.407","0.407","0.553","0.553","0.553"
"630","0.436","0.436","0.436","0.379","0.379","0.379","0.259","0.259","0.259","0.533","0.533","0.533","0.472","0.472","0.472","0.453","0.453","0.453","0.4","0.4","0.4","0.529","0.529","0.529"
"631","0.421","0.421","0.421","0.438","0.438","0.438","0.278","0.278","0.278","0.536","0.536","0.536","0.484","0.484","0.484","0.485","0.485","0.485","0.416","0.416","0.416","0.514","0.514","0.514"
"632","0.412","0.412","0.412","0.454","0.454","0.454","0.23","0.23","0.23","0.557","0.557","0.557","0.494","0.494","0.494","0.494","0.494","0.494","0.446","0.446","0.446","0.532","0.532","0.532"
"633","0.422","0.422","0.422","0.438","0.438","0.438","0.207","0.207","0.207","0.56","0.56","0.56","0.496","0.496","0.496","0.45","0.45","0.45","0.41","0.41","0.41","0.561","0.561","0.561"
"634","0.434","0.434","0.434","0.436","0.436","0.436","0.304","0.304","0.304","0.545","0.545","0.545","0.478","0.478","0.478","0.491","0.491","0.491","0.382","0.382","0.382","0.552","0.552","0.552"
"635","0.422","0.422","0.422","0.427","0.427","0.427","0.212","0.212","0.212","0.549","0.549","0.549","0.483","0.483","0.483","0.472","0.472","0.472","0.408","0.408","0.408","0.513","0.513","0.513"
"636","0.442","0.442","0.442","0.438","0.438","0.438","0.24","0.24","0.24","0.527","0.527","0.527","0.482","0.482","0.482","0.477","0.477","0.477","0.4","0.4","0.4","0.53","0.53","0.53"
"637","0.413","0.413","0.413","0.447","0.447","0.447","0.28","0.28","0.28","0.54","0.54","0.54","0.475","0.475","0.475","0.476","0.476","0.476","0.416","0.416","0.416","0.546","0.546","0.546"
"638","0.433","0.433","0.433","0.46","0.46","0.46","0.29","0.29","0.29","0.549","0.549","0.549","0.481","0.481","0.481","0.479","0.479","0.479","0.434","0.434","0.434","0.539","0.539","0.539"
"639","0.41","0.41","0.41","0.443","0.443","0.443","0.256","0.256","0.256","0.57","0.57","0.57","0.513","0.513","0.513","0.476","0.476","0.476","0.404","0.404","0.404","0.555","0.555","0.555"
"640","0.437","0.437","0.437","0.42","0.42","0.42","0.292","0.292","0.292","0.548","0.548","0.548","0.451","0.451","0.451","0.469","0.469","0.469","0.4","0.4","0.4","0.525","0.525","0.525"
"641","0.43","0.43","0.43","0.429","0.429","0.429","0.243","0.243","0.243","0.541","0.541","0.541","0.491","0.491","0.491","0.47","0.47","0.47","0.398","0.398","0.398","0.549","0.549","0.549"
"642","0.427","0.427","0.427","0.407","0.407","0.407","0.289","0.289","0.289","0.545","0.545","0.545","0.513","0.513","0.513","0.448","0.448","0.448","0.364","0.364","0.364","0.584","0.584","0.584"
"643","0.439","0.439","0.439","0.427","0.427","0.427","0.257","0.257","0.257","0.541","0.541","0.541","0.485","0.485","0.485","0.481","0.481","0.481","0.457","0.457","0.457","0.532","0.532","0.532"
"644","0.436","0.436","0.436","0.419","0.419","0.419","0.28","0.28","0.28","0.532","0.532","0.532","0.483","0.483","0.483","0.468","0.468","0.468","0.393","0.393","0.393","0.547","0.547","0.547"
"645","0.403","0.403","0.403","0.437","0.437","0.437","0.177","0.177","0.177","0.559","0.559","0.559","0.503","0.503","0.503","0.46","0.46","0.46","0.388","0.388","0.388","0.554","0.554","0.554"
"646","0.45","0.45","0.45","0.417","0.417","0.417","0.251","0.251","0.251","0.528","0.528","0.528","0.476","0.476","0.476","0.47","0.47","0.47","0.424","0.424","0.424","0.536","0.536","0.536"
"647","0.443","0.443","0.443","0.444","0.444","0.444","0.24","0.24","0.24","0.554","0.554","0.554","0.486","0.486","0.486","0.481","0.481","0.481","0.361","0.361","0.361","0.58","0.58","0.58"
"648","0.451","0.451","0.451","0.446","0.446","0.446","0.205","0.205","0.205","0.571","0.571","0.571","0.498","0.498","0.498","0.486","0.486","0.486","0.41","0.41","0.41","0.556","0.556","0.556"
"649","0.414","0.414","0.414","0.421","0.421","0.421","0.264","0.264","0.264","0.531","0.531","0.531","0.48","0.48","0.48","0.477","0.477","0.477","0.444","0.444","0.444","0.543","0.543","0.543"
"650","0.413","0.413","0.413","0.418","0.418","0.418","0.231","0.231","0.231","0.53","0.53","0.53","0.478","0.478","0.478","0.462","0.462","0.462","0.404","0.404","0.404","0.546","0.546","0.546"
"651","0.434","0.434","0.434","0.415","0.415","0.415","0.255","0.255","0.255","0.534","0.534","0.534","0.473","0.473","0.473","0.468","0.468","0.468","0.397","0.397","0.397","0.556","0.556","0.556"
"652","0.443","0.443","0.443","0.436","0.436","0.436","0.2551","0.2551","0.2551","0.528","0.528","0.528","0.493","0.493","0.493","0.456","0.456","0.456","0.374","0.374","0.374","0.525","0.525","0.525"
"653","0.448","0.448","0.448","0.424","0.424","0.424","0.273","0.273","0.273","0.531","0.531","0.531","0.476","0.476","0.476","0.452","0.452","0.452","0.357","0.357","0.357","0.55","0.55","0.55"
"654","0.462","0.462","0.462","0.423","0.423","0.423","0.234","0.234","0.234","0.535","0.535","0.535","0.475","0.475","0.475","0.446","0.446","0.446","0.414","0.414","0.414","0.556","0.556","0.556"
"655","0.442","0.442","0.442","0.429","0.429","0.429","0.268","0.268","0.268","0.538","0.538","0.538","0.483","0.483","0.483","0.486","0.486","0.486","0.402","0.402","0.402","0.52","0.52","0.52"
"656","0.436","0.436","0.436","0.41","0.41","0.41","0.279","0.279","0.279","0.52","0.52","0.52","0.475","0.475","0.475","0.465","0.465","0.465","0.413","0.413","0.413","0.528","0.528","0.528"
"657","0.446","0.446","0.446","0.472","0.472","0.472","0.258","0.258","0.258","0.548","0.548","0.548","0.477","0.477","0.477","0.486","0.486","0.486","0.414","0.414","0.414","0.549","0.549","0.549"
"658","0.44","0.44","0.44","0.426","0.426","0.426","0.27","0.27","0.27","0.547","0.547","0.547","0.469","0.469","0.469","0.464","0.464","0.464","0.442","0.442","0.442","0.522","0.522","0.522"
"659","0.439","0.439","0.439","0.456","0.456","0.456","0.293","0.293","0.293","0.533","0.533","0.533","0.492","0.492","0.492","0.493","0.493","0.493","0.458","0.458","0.458","0.541","0.541","0.541"
"660","0.442","0.442","0.442","0.442","0.442","0.442","0.286","0.286","0.286","0.544","0.544","0.544","0.493","0.493","0.493","0.476","0.476","0.476","0.425","0.425","0.425","0.524","0.524","0.524"
"661","0.438","0.438","0.438","0.442","0.442","0.442","0.28","0.28","0.28","0.537","0.537","0.537","0.491","0.491","0.491","0.47","0.47","0.47","0.391","0.391","0.391","0.535","0.535","0.535"
"662","0.416","0.416","0.416","0.433","0.433","0.433","0.208","0.208","0.208","0.543","0.543","0.543","0.503","0.503","0.503","0.479","0.479","0.479","0.419","0.419","0.419","0.557","0.557","0.557"
"663","0.417","0.417","0.417","0.405","0.405","0.405","0.224","0.224","0.224","0.545","0.545","0.545","0.487","0.487","0.487","0.463","0.463","0.463","0.37","0.37","0.37","0.54","0.54","0.54"
"664","0.409","0.409","0.409","0.429","0.429","0.429","0.286","0.286","0.286","0.534","0.534","0.534","0.475","0.475","0.475","0.478","0.478","0.478","0.425","0.425","0.425","0.517","0.517","0.517"
"665","0.446","0.446","0.446","0.463","0.463","0.463","0.268","0.268","0.268","0.529","0.529","0.529","0.47","0.47","0.47","0.508","0.508","0.508","0.402","0.402","0.402","0.537","0.537","0.537"
"666","0.448","0.448","0.448","0.439","0.439","0.439","0.253","0.253","0.253","0.53","0.53","0.53","0.473","0.473","0.473","0.487","0.487","0.487","0.406","0.406","0.406","0.516","0.516","0.516"
"667","0.437","0.437","0.437","0.413","0.413","0.413","0.204","0.204","0.204","0.526","0.526","0.526","0.463","0.463","0.463","0.482","0.482","0.482","0.411","0.411","0.411","0.538","0.538","0.538"
"668","0.415","0.415","0.415","0.435","0.435","0.435","0.228","0.228","0.228","0.554","0.554","0.554","0.494","0.494","0.494","0.471","0.471","0.471","0.38","0.38","0.38","0.536","0.536","0.536"
"669","0.444","0.444","0.444","0.409","0.409","0.409","0.3","0.3","0.3","0.555","0.555","0.555","0.483","0.483","0.483","0.46","0.46","0.46","0.415","0.415","0.415","0.533","0.533","0.533"
"670","0.451","0.451","0.451","0.455","0.455","0.455","0.307","0.307","0.307","0.534","0.534","0.534","0.496","0.496","0.496","0.495","0.495","0.495","0.423","0.423","0.423","0.527","0.527","0.527"
"671","0.458","0.458","0.458","0.435","0.435","0.435","0.327","0.327","0.327","0.554","0.554","0.554","0.491","0.491","0.491","0.493","0.493","0.493","0.399","0.399","0.399","0.542","0.542","0.542"
"672","0.425","0.425","0.425","0.45","0.45","0.45","0.299","0.299","0.299","0.548","0.548","0.548","0.489","0.489","0.489","0.498","0.498","0.498","0.458","0.458","0.458","0.526","0.526","0.526"
"673","0.444","0.444","0.444","0.415","0.415","0.415","0.264","0.264","0.264","0.538","0.538","0.538","0.493","0.493","0.493","0.482","0.482","0.482","0.387","0.387","0.387","0.532","0.532","0.532"
"674","0.435","0.435","0.435","0.467","0.467","0.467","0.313","0.313","0.313","0.526","0.526","0.526","0.46","0.46","0.46","0.501","0.501","0.501","0.421","0.421","0.421","0.531","0.531","0.531"
"675","0.42","0.42","0.42","0.443","0.443","0.443","0.284","0.284","0.284","0.548","0.548","0.548","0.491","0.491","0.491","0.466","0.466","0.466","0.422","0.422","0.422","0.524","0.524","0.524"
"676","0.45","0.45","0.45","0.431","0.431","0.431","0.242","0.242","0.242","0.529","0.529","0.529","0.476","0.476","0.476","0.459","0.459","0.459","0.417","0.417","0.417","0.521","0.521","0.521"
"677","0.426","0.426","0.426","0.447","0.447","0.447","0.247","0.247","0.247","0.543","0.543","0.543","0.474","0.474","0.474","0.476","0.476","0.476","0.419","0.419","0.419","0.556","0.556","0.556"
"678","0.433","0.433","0.433","0.433","0.433","0.433","0.25","0.25","0.25","0.528","0.528","0.528","0.478","0.478","0.478","0.454","0.454","0.454","0.413","0.413","0.413","0.567","0.567","0.567"
"679","0.44","0.44","0.44","0.43","0.43","0.43","0.257","0.257","0.257","0.543","0.543","0.543","0.489","0.489","0.489","0.464","0.464","0.464","0.407","0.407","0.407","0.556","0.556","0.556"
"680","0.437","0.437","0.437","0.424","0.424","0.424","0.255","0.255","0.255","0.524","0.524","0.524","0.454","0.454","0.454","0.484","0.484","0.484","0.421","0.421","0.421","0.542","0.542","0.542"
"681","0.429","0.429","0.429","0.447","0.447","0.447","0.26","0.26","0.26","0.553","0.553","0.553","0.49","0.49","0.49","0.465","0.465","0.465","0.403","0.403","0.403","0.53","0.53","0.53"
"682","0.452","0.452","0.452","0.445","0.445","0.445","0.261","0.261","0.261","0.539","0.539","0.539","0.457","0.457","0.457","0.476","0.476","0.476","0.423","0.423","0.423","0.511","0.511","0.511"
"683","0.436","0.436","0.436","0.403","0.403","0.403","0.27","0.27","0.27","0.523","0.523","0.523","0.467","0.467","0.467","0.454","0.454","0.454","0.407","0.407","0.407","0.541","0.541","0.541"
"684","0.449","0.449","0.449","0.462","0.462","0.462","0.231","0.231","0.231","0.546","0.546","0.546","0.493","0.493","0.493","0.5","0.5","0.5","0.381","0.381","0.381","0.552","0.552","0.552"
"685","0.462","0.462","0.462","0.433","0.433","0.433","0.217","0.217","0.217","0.544","0.544","0.544","0.496","0.496","0.496","0.47","0.47","0.47","0.391","0.391","0.391","0.539","0.539","0.539"
"686","0.417","0.417","0.417","0.438","0.438","0.438","0.268","0.268","0.268","0.541","0.541","0.541","0.505","0.505","0.505","0.474","0.474","0.474","0.413","0.413","0.413","0.585","0.585","0.585"
"687","0.424","0.424","0.424","0.418","0.418","0.418","0.266","0.266","0.266","0.52","0.52","0.52","0.467","0.467","0.467","0.457","0.457","0.457","0.401","0.401","0.401","0.527","0.527","0.527"
"688","0.45","0.45","0.45","0.433","0.433","0.433","0.215","0.215","0.215","0.518","0.518","0.518","0.454","0.454","0.454","0.483","0.483","0.483","0.433","0.433","0.433","0.555","0.555","0.555"
"689","0.416","0.416","0.416","0.417","0.417","0.417","0.257","0.257","0.257","0.534","0.534","0.534","0.464","0.464","0.464","0.488","0.488","0.488","0.363","0.363","0.363","0.531","0.531","0.531"
"690","0.409","0.409","0.409","0.452","0.452","0.452","0.251","0.251","0.251","0.544","0.544","0.544","0.491","0.491","0.491","0.516","0.516","0.516","0.408","0.408","0.408","0.535","0.535","0.535"
"691","0.425","0.425","0.425","0.428","0.428","0.428","0.266","0.266","0.266","0.536","0.536","0.536","0.47","0.47","0.47","0.488","0.488","0.488","0.416","0.416","0.416","0.542","0.542","0.542"
"692","0.453","0.453","0.453","0.43","0.43","0.43","0.299","0.299","0.299","0.541","0.541","0.541","0.473","0.473","0.473","0.452","0.452","0.452","0.419","0.419","0.419","0.523","0.523","0.523"
"693","0.439","0.439","0.439","0.42","0.42","0.42","0.296","0.296","0.296","0.532","0.532","0.532","0.452","0.452","0.452","0.441","0.441","0.441","0.42","0.42","0.42","0.546","0.546","0.546"
"694","0.452","0.452","0.452","0.435","0.435","0.435","0.339","0.339","0.339","0.533","0.533","0.533","0.491","0.491","0.491","0.449","0.449","0.449","0.386","0.386","0.386","0.538","0.538","0.538"
"695","0.436","0.436","0.436","0.4","0.4","0.4","0.243","0.243","0.243","0.51","0.51","0.51","0.456","0.456","0.456","0.443","0.443","0.443","0.398","0.398","0.398","0.529","0.529","0.529"
"696","0.45","0.45","0.45","0.417","0.417","0.417","0.299","0.299","0.299","0.526","0.526","0.526","0.476","0.476","0.476","0.466","0.466","0.466","0.352","0.352","0.352","0.513","0.513","0.513"
"697","0.447","0.447","0.447","0.441","0.441","0.441","0.279","0.279","0.279","0.55","0.55","0.55","0.474","0.474","0.474","0.468","0.468","0.468","0.412","0.412","0.412","0.528","0.528","0.528"
"698","0.438","0.438","0.438","0.45","0.45","0.45","0.249","0.249","0.249","0.544","0.544","0.544","0.461","0.461","0.461","0.454","0.454","0.454","0.371","0.371","0.371","0.542","0.542","0.542"
"699","0.466","0.466","0.466","0.432","0.432","0.432","0.315","0.315","0.315","0.542","0.542","0.542","0.488","0.488","0.488","0.462","0.462","0.462","0.414","0.414","0.414","0.556","0.556","0.556"
"700","0.435","0.435","0.435","0.426","0.426","0.426","0.311","0.311","0.311","0.543","0.543","0.543","0.487","0.487","0.487","0.474","0.474","0.474","0.425","0.425","0.425","0.546","0.546","0.546"
